Positive	Negative	Text
1	-1	Stockman: Stock market index prices 'dramatically overpriced' stockmarket
3	-1	We've had a lot of new Canterbury stock on our site! Great prices can be found here: // pic.twitter.com/6DhZx3vGvG
1	-2	Noble Corp. NE Stock Declines on Falling Oil Prices
1	-2	Noble Energy NBL Stock Down with Oil Prices on Demand Concerns
1	-1	Kinross Gold (KGC) Stock Gains Amid Higher Gold Prices
1	-1	How ContentMarketing has changed PR via @PRDaily:
1	-1	COP: ConocoPhillips (COP) Stock Down as Oil Prices Fall:
1	-2	BP Stock Declines Along With Crude Prices
3	-1	Goldcorp (GG) Stock Gains on Rebounding Gold Prices: Prices of the precious metal were rising Monday ahead of
1	-2	BP Stock Declines Along With Crude Prices: NEW YORK (TheStreet) --BP shares are down by 1.48 to 30.55 in
1	-1	Kinder Morgan (KMI) Stock Down as Oil PricesSlide pic.twitter.com/JO8Ao6s8n5
1	-2	TheStreet Updates Exxon Mobil (XOM) Stock Falls Along With Crude Prices
3	-2	Super Mario Brothers Infiltrate Google Search Results With An Addictive Easter Egg - N pic.twitter.com/SJ5mFcxIcY
1	-1	Our Catstudio pillows are all restocked! We have Texas, Fort Worth, Dallas, Hill Country & Austin in stock! Prices pic.twitter.com/XITwLWyIsM
3	-2	Super Mario Brothers Infiltrate Google Search Results With An Addictive Easter Egg - N pic.twitter.com/spJZ3e8LsR
1	-1	Whiting Petroleum (WLL) Stock Down With Sinking Oil Prices
1	-1	Kinder Morgan KMI Stock Down as Oil Prices Slide
1	-1	ConocoPhillips COP Stock Down as Oil Prices Fall
1	-1	Stockman: Stock market index prices dramatically overpriced: Former Reagan budget director David Stockman di
3	-1	Men's armarni watches now in stock. Get 10 off our FAB prices with promo code 'FAB10' pic.twitter.com/1JbUGezkBh
2	-2	@erikahanes @mattragas and your stock prices drop You know who doesn't like that? Shareholders BTW, TheMeasurementAdvisor is a thing?!
1	-2	Exxon Mobil XOM Stock Falls Along With Crude Prices
2	-1	a bit like a bubble again with essentially a 3x of stock prices since 2009 yeah I'm living in Bubble Seattle
1	-1	gold price GoldMarketNews.EU Kinross Gold (KGC) Stock Gains Amid Higher Gold Prices
1	-1	Goldcorp (GG) Stock Gains on Rebounding Gold Prices:
1	-1	Kinross Gold (KGC) Stock Gains Amid Higher Gold Prices:
1	-1	14Sep2015 Pre-Market Commentary: China Slides 2.7, U.S. Stock Futures Index Flat, Oil Prices Testin
1	-1	gold price GoldMarketNews.EU Goldcorp (GG) Stock Gains on Rebounding Gold Prices
1	-1	Freeport-McMoRan (FCX) Stock Lower As Copper Prices Slide -
1	-2	CNX CONSOL Energy (CNX) Stock Declines on Falling Oil Prices
1	-1	SWN: Southwestern Energy (SWN) Stock Down as Oil Prices Fall:
3	-1	NEW Kadence jodhpurs and breeches! New stock and styles for the autumn. Great prices online
1	-4	Yo Market Bears, our 401Ks have suffered enough. Jump on those low stock prices. Opportunities fading.
1	-1	IAMGOLD IAG Stock Gains on Higher Gold Prices
1	-1	WLL: Whiting Petroleum (WLL) Stock Down With Sinking Oil Prices:
1	-2	Broad researcher says paying closer attention to foreign stocks could yield big bucks, @Forbes should look closer.
1	-2	NEM: Newmont Mining (NEM) Stock Slumping with Copper Prices:
1	-1	If you have to ask Reddit how a Fed rates hike will affect stock prices, maybe you shouldn't make any moves based on a hypothetical hike.
1	-2	CRWG Cheap prices at these levels Extra Link:Most recent SEC Filings CRWG
1	-2	Petrobras (PBR.A) Stock Declines on Falling Oil Prices:
2	-1	Scorpion CAT back systems in stock for the Golf MK5 GTI @ Competitive prices please click the link below If you
1	-2	CRWG Cheap prices at these levels Extra Link:Most recent SEC Filings CRWG
1	-2	gold price GoldMarketNews.EU Newmont Mining (NEM) Stock Slumping with Copper Prices
2	-1	Stock up now on your Halloween Party products, at spooklaculor prices!!! pic.twitter.com/bu3D3VbZdF
1	-2	Newmont Mining (NEM) Stock Slumping with Copper Prices: NEW YORK (TheStreet) -- Newmont Mining stockis lo
1	-2	Crude prices continue to drift lower today which is helping to push stock prices lower. On a brighter side of lower oil prices, I actually
1	-1	Hold or Sell? Rate Uncertainty Robs Golds Shine: Sibanye Gold has a Zacks Rank 3 (Hold) and its stock prices
2	-1	SPY fed's don't look at stock prices!!! Interest rate hike is a guarantee!
1	-1	@atanae That is, money invested back into their employees should count for increasing stock prices, not reducing them.
2	-1	@atanae I'm hoping that one day employee satisfaction might be something that impacts stock prices so they have to care. ;)
1	-1	AMD Shares Soar As Rumors Swirl Microsoft, Intel Want To Take Over: AMD stock prices are up after rumors that
1	-2	Petrobras (PBR.A) Stock Declines on Falling Oil Prices
2	-2	Stock market Unemployment Home values Uninsured Pell grants Gas prices Exports Deficit GDP Thanks Obama. @POTUS
2	-2	touting healthy stock levels and hoping other sources will come through and bring prices down.
1	-2	WPX Energy WPX Stock Retreating Along With Oil Prices
1	-1	Denbury Resources (DNR) Stock Lower as Oil Prices Slip - pic.twitter.com/wzhPe1cKP8
1	-1	looks up prices for replacement stock rims
1	-1	Harrod Link Stakes and Border Restraint Seconds in Stock Now - 25 Off Normail Prices
1	-1	Freeport-McMoRan FCX Stock Lower As Copper Prices Slide
1	-2	Mortgage Bond prices continue to try and stabilize with Stock prices under pressure. Carefully floating is recommended.
1	-2	Chinese stock-market is at lowest in 3 weeks, Shanghai-exchange is -2.7 Oil prices lost 3 last wk It's predicted prices could fall to 20?
1	-2	Petrobras PBR.A Stock Declines on Falling Oil Prices
1	-1	Petrobras (PBR) Stock Falls as Oil Prices Slide: Click
1	-1	Oasis Petroleum OAS Stock Falls on Lower Oil Prices
2	-2	Copper Pipe - We have IN Stock - 15- 22- 28- 35- 42- & 54mm Copper tube - At the Best Prices - Drop by or Call us pic.twitter.com/H2qrjbXyz1
2	-1	Our stocklist contains lots of useful info & prices on fans, impellers, motors & accessories available from stock
2	-1	Since haze has become a common occurrence, it is safe to stock up N95 masks early than buying it at the very last minute at inflated prices.
2	-1	14Sep2015 Pre-Market Commentary: China Slides 2.7, U.S. Stock Futures Index Flat, Oil Prices Testing Support,
2	-1	A penny stock isn't a literal term, but compared to the prices of higher stocks, it may seem like a bargain
1	-1	What Stock Prices Are Saying About the Australian Economy
1	-1	Set e-mail alert for Dhaka stock exchange DSEBD share prices on your Android
2	-1	New websites for touch foils Stock and prices, best products. Check it out. pic.twitter.com/DZhQUxsPwr
1	-2	House prices set to rise by 6 as housing stock shortage drives prices higher RICS
1	-1	stock Canada home prices rise in August from July, up 5.4 pct on year: TORONTO, Sept 14 (Reuters) - Canadian home
1	-4	Will stock market scares bring prices down for everyone? pic.twitter.com/8UHLggAv8m
3	-2	5 Great Stocks on Sale: When the market starts to get crazy, many great business's can see their stock prices
1	-1	Three more c9 in stock,pm me for details and prices Summer bodies are made in the winter
1	-1	It's that time of year when you can stock up on fitness music at bargain prices! The Autumn Sale is now on!
1	-1	Flag manufacturing stock prices are tanking.
1	-2	Diamond prices, hit by stock market slump + China, down 29 since last year.
1	-1	New stone island coat - top press piece and very limited stock - prices from 298 @ jellyrolls
1	-1	Do people who speculate over Jeremy Corbyn's chances of election in 2020 also think they can predict stock market prices 4+ years from now?
1	-1	Stock up for school, office & home! We have large stocks of paper and we're selling it at reduced prices! pic.twitter.com/92eVHIUQAJ
1	-1	NEW BEDS AND MATTRESSES AT WAREHOUSE PRICES FULL RANGE IN STOCK ALL SIZES ALL READY FOR DELIVERY OR COLLECTION pic.twitter.com/FAaJdm0kr8
1	-1	Actual prices new york stock exchange in clocks coincide with the London Stock Exchange. pic.twitter.com/nri7MZQqC6
3	-1	Wow! Now that's what I'm talking about. Never thought I would see gas prices under 2 again. Food truckers stock up. pic.twitter.com/Ii1Guw0Vcw
2	-1	It's that time of year when you can stock up on CD & Download albums at rock bottom prices! enter MMAS15 at checkout!
2	-1	Back in stock - 10ml gold CBD applicators Best prices Guaranteed at UK CBD ltd
1	-2	DTN Stock Market: Oil rout slows US shale growth: Opecs monthly report says lower crude prices have boosted d
1	-1	We have @OPROGroup Mouthguards in stock just in time for the new term! Prices start from 20.
1	-2	BoomPickens : This theory argues that stock prices are efficient
1	-1	Dubai's clubbing stock price rockets as oil prices continue to fall pic.twitter.com/E93yHuCw8X
1	-1	What Stock Prices Are Saying About the Australian Economy - Daily Reckoning - Australian Edition economy
1	-2	It's time to revisit the disaster scenario for stock prices finance feedly
2	-1	Trowell have a new shipment of coral frags in stock. Lovely selection with prices starting at 12 aquarium pic.twitter.com/iUblT9rvPP
3	-1	We currently have some amazing PremiumClass autos in stock. If you're looking for great prices on luxury
3	-1	Great stock of neutral reuse sofas here at FurnishW12 - fabulous affordable prices too! Come and try them out! pic.twitter.com/DZgYlmCR2o
1	-2	Invesat bankers: Stock price drop at SES/Loral & (esp) Intelsat since Jan show big investors see FSS risky re: future xponder prices. WSBW
1	-1	Exclusive: The latest tech share prices - which shares should you buy?
2	-2	Central Asia Metals H1 profit down on weak prices, cuts dividend; stock dips: Shares of Central Asia Metals pl
1	-1	Update on the latest share prices on tech firms, including Google, Facebook, Apple, Microsoft etc
1	-2	Diamond prices hit by stock market slump, China @CNBC //
1	-1	London Stock Exchange update: FTSE 100 currently at 6,159.72, up 0.68
1	-1	Find out what is happening to prime Winchester house prices in our latest City Index: pic.twitter.com/GCzJ8kkxwy
1	-1	What Stock Prices Are Saying About the Australian Economy
2	-1	Investors Being Deceived?: When stock prices plunge who benefits? Smart investors who are certain that the prices
1	-1	Gulf markets fall, tracking oil, China: Gulf stock markets fell early on Monday after oil prices fell again an
1	-1	VARSITY The Stock Exchange: Watch the prices change! 07.10.15 Freshers NUA UEA pic.twitter.com/mmTmM8ugw1
1	-1	Could Bitcoin-powered micro-payments help reduce piracy and ensure artists get paid? - pic.twitter.com/kfq7AKqRKL
2	-1	It looks to me a bit like a bubble again with essentially a tripling of stock prices since 2009 in just six years
3	-2	Unbelievable! Listening to oil stock talk & these two Market Clowns are cheering US slowdown of oil production so our oil prices go UP!
1	-2	Glencore to issue stock, cut debt amid weak commodity prices apps
1	-1	What Stock Prices Are Saying About the Australian Economy: I will say that the Aussie economic adjustment l
2	-1	Greg Canavan discusses interest rates and stock prices, 'What Stock Prices Are Saying About the Australian Economy' -
1	-2	DTN Stock Market: Fed faces familiar rate rise dilemma: Previous delays led to inflated asset prices and recessions
2	-1	RT businessinsider: MORGAN STANLEY: Heres how we see oil prices playing out through 2018 pic.twitter.com/AtOJgpKVwx
2	-3	a tripling of stock prices since 2009 and at the same time people losing confidence in the valuation of the market
1	-1	The White House's New Website Uses Data to Compare Colleges - White Houses back-to-sc pic.twitter.com/g0k0oK8rf9
1	-1	In the stock market, as with horse racing, money makes the mare go. Monetary conditions exert an enormous influence on stock prices.
5	-1	article on the myths and realities of Fed actions : by my friend Manish Bhandari, a fund manager par excellence !!
3	-2	Superior Energy Services (SPN) Stock Hits One-Year Low as Oil Prices Sink to Five-Year Low
1	-1	Will Falling Oil Prices Crash The Stock Market? stocks
3	-4	@GTobergte Dang the depression in that statement made stock prices look fantastic.
1	-1	Target Round Up: Stock Up Prices on TP, Swiffer, Toilet Cleaners & More! coupons couponing
1	-2	Low, Stable Inflation to Boost Stock Prices @Donyaeeqtesad
2	-1	Good growth drives stocks over time, and we want to buy them at good prices.
1	-2	CNBC: Diamond prices hit by stock market slump,China
1	-3	RT daryllawson: PressTV-Oil kept down to harm Iran, Russia OilPrices
1	-1	Petrobras (PBR) Stock Falls as Oil Prices May Lead to Spending Cuts Related Articles:
1	-1	Denbury Resources (DNR) Stock Declining as Oil Prices Slip Related Articles:
1	-1	Dhaka stock exchange DSEBD prices on your Android and iPhone
1	-1	This Graphic Explains How to File a Freedom of Information Act Request - Freedom of In pic.twitter.com/rB6nRvJdFV
1	-1	Transocean (RIG) Stock Falling with Oil Prices Related Articles:
2	-1	Watching our gas prices fluctuate has been like watching the stock market-What are they going to do next?
3	-1	Beautiful jewelry for HIM and HER, stock up at these prices for Christmas gifts
1	-1	Why BABA Stock Still Isnt a Buy at IPO Prices
2	-4	The Fed, Interest Rates and Stock Prices: Fighting the Fear Factor blogs feedly
1	-1	Watching my fantasy points go up as if they were stock prices right now.
1	-1	Nabors Industries (NBR) Stock Down as Oil Prices Slide Related Articles:
2	-1	Cut the prices on almost half the stock in my shoppe!! If you've had your eye on a journal or two,
1	-2	California Resources (CRC) Stock Falls as Oil Prices Decline Related Articles: pic.twitter.com/51q3UFgY7J
1	-1	What's Driving Stock Prices Higher-This Bull Market Might Last Another 15 Years stocks
3	-1	Amazing stock! Some stunning coats ready for the winter! High quality high street @ charity prices bargains
1	-2	Modest Gain for the Market as Oil Prices Slump Again
1	-2	Stock Market Dow Trend Forecast for September to December 2015: The 15 drop in average stock prices during th
2	-1	Good growth drives stocks over time, and we want to buy them at good prices.
1	-2	We have also slashed the prices on our Under Armour teamwear range which means even small orders pay the same price
3	-1	Stock your son's closet with great deals on boy's clothing sizes 2-7! Prices start at just 2.07 ---> ad
1	-1	Seattle Genetics Prices 11.707M Share Offering of Common Stock @41.00/Share
1	-2	RT SusieBunting1: @MondeeRedman You must be young. You remind me of my son who argued awhile back that oil prices would never go low again.
2	-3	Good evening I am having a sort out of old stock and selling at very low prices, prices on pics All can be
1	-1	Encana (ECA) Stock Lower as Oil Prices Fall Related Articles:
1	-1	Seadrill (SDRL) Stock Falls on Lower Oil Prices Related Articles: pic.twitter.com/XCv1vh4ckF
1	-1	Its market day again tomorow. All clearence stock at bargain prices. See my events to join in.
3	-1	STOCK UP PRICES on Toilet paper and Kleenex. Order online and pick up at Target. I love easy deals like this
2	-1	Welcome to winter in Neath CRUK come and join us tomorrow for best quality stock at best prices pic.twitter.com/2idwfboR1u
1	-1	Now in stock the full range of Yankee Candles Christmas Gift Sets. Prices only 6.99 to 31.99. @KempsCottingham pic.twitter.com/qdcBHX8tUe
1	-2	California Resources (CRC) Stock Falls as Oil Prices Decline Related Articles: pic.twitter.com/Bju9lKpK1p
3	-1	GORGEOUS Designer Bridal Gowns in stock right now at Discounted Prices BridalGowns WeddingGowns Gowns Indy pic.twitter.com/sfhDijukQO
1	-1	Adding all stock i have left form my markets. the prices will be on the album desciption. I will include all
1	-1	HOT - 10/50 purchase at = Stock up prices on Scott Tissue and Kleenex
1	-1	Laila holds RSX 15.8: The Russian stock market is well off its 2011 highs and at current prices looks to be an
2	-2	Stimulus Hopes Send Stock Prices Shooting Higher
1	-2	Glencore to issue stock, cut debt amid weak commodity prices apps
1	-3	Analysts Havent Been this Negative on Emerging Markets Since the Financial Crisis Low in Stock Prices, and thats G
2	-1	We're pleased to announce the launch of our website featuring item search, prices, stock levels. Feedback welcome!
3	-1	@jimmiejo Our online and store prices are always different, but you can Ad Match if the item is In Stock online. Hope this helps. -Roe
2	-2	Peter Thiel Explains Biotech Investing Rationale: Get Rid of Randomness - value placed on biotechnology compan
1	-2	Glencore to issue stock, cut debt amid weak commodity prices apps
1	-1	@jduck data shows bugs and exploits don't affect stock prices
1	-1	Denbury Resources (DNR) Stock Declining as Oil Prices Slip Related Articles: pic.twitter.com/rKRDRADbTn
1	-1	Vehicle prices increased Then STOCK prices???????: What is your ideas Gents? All srilanka srilankaequity
1	-1	BP Stock Falls Along With Oil Prices Related Articles:
1	-2	Stock up time! Check out these deals on Men's Swimsuits and Boardshorts for prices as low as 2.57!
1	-1	Encana (ECA) Stock Lower as Oil Prices Fall Related Articles:
1	-1	BP plc (BP) Stock Downgraded At Jefferies: Since the beginning of 2015, it has been believed that oil prices w
1	-2	Weekly roundup of stock prices near their historical lows
1	-1	All ready @SWAMPinBristol missing @ThatPosition babiesdontsleep new stock same bargain prices. pic.twitter.com/02U4NpL9jY
1	-2	Sorry, Apple. Turns Out Designers Dont Use iPads - illuminating results of a survey o pic.twitter.com/eUNdXS4kZb
2	-1	Welcome to Globsol Training. It is providing information about stock prices, share indices, market trends and
3	-1	We stock a great range of bike repair stands at fantastic prices fixmyride
3	-1	Stock Clearance Sale coming up this week. Gloves and clothing at great prices. Keep your eyes open. endofanera
1	-1	Order from our EndlessRange to trade in towards website prices! Get stock you can't get at store level!
3	-1	best week to stock up on fish. post ganesh chaturthi, prices will soar as abstinence ends. my smile will continue.
1	-1	Dhaka stock exchange DSEBD prices on your Android and iPhone
2	-1	Wines in stock at the best prices in Ireland; UK IE homebrew wine pic.twitter.com/ICWKF4YHKj
1	-1	ConocoPhillips (COP) Stock Closed Trading Down as Oil Prices Fell Related Articles: pic.twitter.com/0IIoFttPXb
1	-2	WPX Energy (WPX) Stock Falling Amid Decline in Oil Prices Related Articles: pic.twitter.com/tIVjEhlE6n
1	-2	No sign of a recovery as increased levels of stock on the market drag down prices
3	-2	We have @bridgestonegolf B330 Range of balls on offer at 24.99 a Dozen Until Stocks Last Be Quick and stock up on great balls at Low Prices
1	-1	JetBlue (JBLU) Stock Higher on Lower Oil Prices Related Articles:
2	-2	Krvn radio: oil price futures dow stock futures Corn prices represented the calm in the storm over the past we
1	-1	The work of building valid market-making systems is evidently still not done. Incidentally, that's why we exist.
1	-1	pujcke macys stock prices news:
1	-2	CONSOL Energy (CNX) Stock Declines on Falling Oil Prices - Buy Stocks investing wlst pic.twitter.com/QfoHAqZ9WD
1	-2	CONSOL Energy (CNX) Stock Declines on Falling Oil Prices: This is driven by some concerns, stocks investing
1	-1	Gold Fields (GFI) Stock Falls on Lower Gold Prices
1	-1	Marketing Concepts: Indian Stock Market Silver Prices 24-hour Spot Chart Silver Live 24-hour Spot Gold Cha
2	-1	@Gawbage29 That was hard to watch!!! On the bright side ticket prices have plummeted. TN football tickets look like the Enron stock in 2001!
3	-1	Take stock in superior touch at admissible prices: STViX
1	-2	Liquidation of Mad Millie kitchenware products online. Up to 75 off normal retail prices to clear! Stock is
1	-1	BP Stock Falls Along With Oil Prices Related Articles:
1	-1	ConocoPhillips (COP) Stock Closed Trading Down as Oil Prices Fell Related Articles:
1	-1	Basic Energy Services (BAS) Stock Falls on Lower Oil Prices Related Articles: pic.twitter.com/poEGXFYi3r
2	-4	The @federalreserve, interest rates and stock prices: fighting the fear factor:
1	-2	RT CapOversight: GOLDMAN: Oil is on the verge of plunging to 20 Capital Oversight Inc OilPrices
1	-1	Plex App For New Apple TV 4 Confirmed - developers behind the popular media playback a pic.twitter.com/0caFmeNxPx
1	-1	Kinross Gold (KGC) Stock Falls Along With Gold Prices
3	-1	TY 4 RT @BassAnglerKidzz Good Tackle; Great Prices! Stock up for the fall feed :) pic.twitter.com/4PowmtFFyd
1	-1	The Proverbial Fix Is In: BMO STOCK PRICES as of Sept 12 SEESAW DOWN WARD SL
1	-1	Marceline sells SRCL 140.02: Stericycle Inc (SRCL) Prices 7M Mandatory Convertible Preferred Stock Offering
1	-1	Dhaka stock exchange DSEBD prices on your Android and iPhone
1	-2	@PetiteBritette @HollyDunnDesign Every time I go to London tho I stock up on books & the prices still work out cheaper than home.
1	-2	RT @ForbesInvestor: Biotech has unprecedented ROI as drug approvals/IPOs/stock prices explode pic.twitter.com/lSS58H6Z9I
1	-1	Why have commodity prices fallen so far agenda the world economic forum: stock market prices Commodity pr
1	-1	Why have commodity prices fallen so far agenda the world economic forum: stock market prices Commodity pr
1	-1	Gillmor Gang: God Only Knows - Gillmor Gang &8212; John Borthwick, Robert Scoble, Joh pic.twitter.com/w3QeDXBfzT
1	-1	Nabors Industries (NBR) Stock Down as Oil Prices Slide Related Articles:
2	-4	Why I hate the stock market: shareholders who celebrate stock prices that languish. AddValueRatherThanGamble
1	-2	Option-heavy CEOs become more risky and benefit from increases in share prices but lose nothing if they fall.
1	-1	BP Stock Falls Along With Oil Prices Related Articles:
1	-1	Encana (ECA) Stock Rises as Oil Prices Gain Related Articles:
2	-3	Prices for OVO X is worse than the stock market on a daily. Y'all too serious about this.
1	-1	Edels Boutique Nenagh New stock for prices and sizes call 067-43186 or look at Facebook page .
1	-1	Basic Energy Services (BAS) Stock Falls on Lower Oil Prices
1	-2	Eldorado Gold (EGO) Stock Falls as Gold Prices Retreat
1	-1	Canadian stock market drops on falling oil prices
1	-1	Over 200 New Moonquakes Discovered in Apollo 16 Data - Apollo moon missions ended ov pic.twitter.com/VkdvsqpELa
1	-1	Old Mutual Plc ADR (ODMTY) 23.8700 ODMTY OM Asset Management prices upsized secondary Seeking Alpha - at Seek
2	-1	Short Swing Trading: Complete and comprehensive trading strategy to profit from short swings in stock prices.
1	-1	FYI: The biggest Carhartt pant sale ends Tuesday at midnight. Click to stock up before these prices are gone. -
1	-1	Badger Income Fund (BADFF) 15.0200 BADFF Over-Reaction From Oil Prices Give Badger Daylighting A 30 Upside A
1	-1	Transocean (RIG) Stock Falling with Oil Prices RIG via @TheStreet
